Task;Effort;Allocate;Start;End;Comment
Earn Taxes;;;00.01.1900;00.01.1900;In this world nothing can be said to be certain, except death and taxes
Take a swim;;;00.01.1900;00.01.1900;..and rub-a-duck
Eat a double quarter pounder with cheese;;;00.01.1900;00.01.1900;They call it Royale with Cheese
Watch a movie;;;00.01.1900;00.01.1900;The new Lawrence of Arabia remake is out !
Have a cold one;;;00.01.1900;00.01.1900;just one..as if
Diesel Generator;8;mary;03.02.2020;03.02.2020;
Wind turbines;80;mary;04.02.2020;24.02.2020;
Solar panels;64;peter;17.02.2020;04.03.2020;
Power;2;paul;16.03.2020;16.03.2020;
Pump Station;16;peter;16.03.2020;18.03.2020;
Roads;56;mary;23.03.2020;03.04.2020;
Vehicles;24;peter;06.04.2020;09.04.2020;
Hospital;24;mary;09.04.2020;16.04.2020;
People;1;peter, mary;16.04.2020;15.06.2020;"They grow up so fast !
(multiline test)"
Housing complex;192;peter, paul, mary;16.04.2020;30.04.2020;
Food;64;paul;30.04.2020;15.05.2020;
Administration;16;peter;18.05.2020;20.05.2020;
Fire Department;24;peter;20.05.2020;27.05.2020;
Police Department;24;peter;27.05.2020;03.06.2020;
Bank;24;paul;18.05.2020;20.05.2020;
Supermarket;64;peter;04.06.2020;23.06.2020;
Bakery;24;mary;15.06.2020;19.06.2020;
Drinks Dealer;16;paul;03.06.2020;05.06.2020;
Farmer's Market;32;paul;05.06.2020;11.06.2020;
Hardware Store;24;mary;19.06.2020;25.06.2020;
Build;72;peter, paul;11.06.2020;24.06.2020;
Commence Operation;8;peter;24.06.2020;25.06.2020;
Build;104;peter, paul, mary;24.06.2020;02.07.2020;
Commence Operation;8;paul;03.07.2020;03.07.2020;
Build;40;paul;02.07.2020;10.07.2020;
Commence Operation;8;paul;13.07.2020;13.07.2020;
Park;24;mary;06.04.2020;30.04.2020;
A Walk in the Park;;;13.07.2020;13.07.2020;I`m getting away, escaping today
